날짜,NAV,시가,고가,저가,종가,거래량,거래대금,기초지수
2025-08-18,13630.03,13785,13785,13545,13545,1198,16299460,1350.14
2025-08-19,13430.43,13640,13640,13330,13370,507,6792105,1330.32
2025-08-20,13286.19,13600,13600,13060,13260,1197,15734895,1315.99
2025-08-21,13240.92,13340,13340,13150,13180,880,11647150,1311.51
2025-08-22,13316.47,13310,13325,13170,13270,1119,14841965,1319.06
2025-08-25,13608.52,13330,13565,13330,13540,958,12947010,1348.11
2025-08-26,13707.32,13565,13630,13465,13620,3257,44305410,1357.94
2025-08-27,13657.62,13650,13650,13540,13615,625,8491870,1353.03
2025-08-28,13531.06,13640,13640,13450,13510,627,8469815,1340.45
2025-08-29,13495.85,13555,13580,13395,13445,690,9317235,1336.98
2025-09-01,13334.5,13485,13485,13220,13285,927,12383542,1320.94
2025-09-02,13481.41,13430,13430,13265,13425,638,8532970,1335.56
2025-09-03,13502.36,13375,13450,13280,13450,559,7483205,1337.66
2025-09-04,13629.53,13470,13625,13470,13570,6209,84136120,1350.32
2025-09-05,13767.12,13600,13715,13595,13705,626,8547690,1364.03
2025-09-08,13877.22,13735,13855,13725,13850,824,11373540,1374.98
2025-09-09,13977.8,13870,13920,13790,13905,473,6560975,1385.02
2025-09-10,14103.36,13935,14050,13935,14030,681,9540145,1397.52
2025-09-11,14126.76,14050,14100,13970,14010,3845,53899937,1399.86
2025-09-12,14383.66,14040,14315,14040,14290,6177,87423165,1425.43
2025-09-15,14465.45,14320,14395,14220,14340,874,12513440,1433.6
2025-09-16,14460.91,14080,14410,14080,14370,2712,38901795,1433.16
2025-09-17,14290.57,14010,14320,14010,14205,3499,49747607,1416.25
2025-09-18,14461.76,14240,14555,14240,14365,941,13489620,1433.28
2025-09-19,14583.93,14365,14485,14330,14485,1499,21614200,1445.48
2025-09-22,14894.77,14485,14835,14485,14790,2385,35207630,1476.39
2025-09-23,14793.81,14550,14825,14550,14690,2820,41378882,1466.4
2025-09-24,14525.36,14300,15000,14265,14455,1424,20574905,1439.76
