날짜,NAV,시가,고가,저가,종가,거래량,거래대금,기초지수
2025-10-27,28768.32,28155,28800,28155,28775,254111,7251683725,6005.45
2025-10-28,27659.3,28685,28685,27430,27705,274519,7612859029,5773.3
2025-10-29,27462.22,27845,28070,27010,27465,138243,3778910837,5732.45
2025-10-30,28401.25,28935,29335,28050,28315,482529,13918428861,5928.98
2025-10-31,27865.73,28145,28385,27560,27910,215026,6019989363,5816.84
2025-11-03,28566.46,28160,28860,28160,28555,275734,7898497263,5963.83
2025-11-04,28087.51,28555,28695,27990,28090,149344,4207446934,5863.89
2025-11-05,26020.3,27865,27865,25440,26075,440761,11589311295,5431.75
2025-11-06,25840.22,26755,26900,25660,25860,428106,11167647309,5394.99
2025-11-07,25367.44,25240,26305,24410,25375,530501,13330482505,5295.78
2025-11-10,26089.86,25535,26150,25390,26090,114795,2978877511,5446.92
2025-11-11,25902.45,26370,26710,25760,25950,232930,6132138342,5407.53
2025-11-12,26146.96,25950,26340,25905,26150,84009,2194642365,5458.76
2025-11-13,26442.31,26110,26345,25750,26345,87168,2281431407,5520.31
2025-11-14,25910.76,25785,26505,25700,25980,142676,3720685085,5409.81
2025-11-17,26245.32,26180,26320,25750,26290,72830,1898739778,5479.59
2025-11-18,25207.77,26105,26405,25200,25255,131690,3385906832,5262.74
2025-11-19,24877.98,25405,25530,24210,24940,212081,5262633886,5194.06
2025-11-20,25249.73,25260,25610,25130,25285,80440,2040672852,5271.75
2025-11-21,24197.94,24415,24615,24070,24165,114857,2791794298,5052.12
2025-11-24,23977.87,24570,24570,23415,23910,85677,2053693092,5006.2
2025-11-25,23583.02,24350,24375,23455,23540,124468,2960538504,4923.62
2025-11-26,23971.0,23645,24080,23445,23920,71887,1713398039,5004.87
2025-11-27,23687.45,24200,24280,23635,23685,86661,2073968689,4945.71
2025-11-28,23336.61,23655,23775,23170,23280,209906,4918956430,4872.67
2025-12-01,22857.66,23455,23485,22670,22785,123162,2826068976,4772.54
2025-12-02,23113.31,22785,23190,22760,23090,103920,2389080287,4825.96
2025-12-03,23638.9,23320,23690,23260,23605,96366,2266129381,4935.73
2025-12-04,23277.72,23700,23785,23095,23230,83031,1937512391,4860.43
2025-12-05,23729.74,23230,23715,23100,23700,105283,2468527775,4955.22
2025-12-08,24357.72,24120,24310,23780,24310,96201,2318220628,5086.04
2025-12-09,24666.64,24250,24695,24150,24625,109012,2676348641,5150.9
2025-12-10,24112.28,24565,24640,24085,24125,50949,1238268329,5034.97
2025-12-11,24015.55,24260,24390,23740,23910,62116,1491464259,5015.03
2025-12-12,24904.14,24240,24870,24140,24795,146880,3622878562,5203.25
2025-12-15,24284.51,24600,24890,23915,24345,92642,2267853104,5072.28
2025-12-16,23426.54,24300,24300,23365,23455,134444,3171770933,4892.9
2025-12-17,23462.28,23635,23655,23215,23470,38444,902143335,4900.38
2025-12-18,22802.4,23015,23245,22690,22810,41635,952664030,4762.27
2025-12-19,23913.97,23025,24140,22945,23940,106758,2523332355,4994.18
2025-12-22,24396.14,24345,24670,24202,24370,91547,2235838028,5095.12
2025-12-23,25487.11,25155,25685,24960,25395,261236,6619979956,5324.45
2025-12-24,25015.22,25915,26025,24920,25050,147306,3750113138,5225.11
2025-12-26,24390.69,25105,25210,24330,24440,101194,2496966678,5094.93
2025-12-29,24846.51,24440,24945,24400,24780,63354,1568440229,5186.62
2025-12-30,24754.09,24935,24935,24445,24800,56512,1399672662,5166.97
2026-01-02,24868.83,24800,24930,24525,24860,99419,2459404883,5191.28
2026-01-05,25613.1,24925,25670,24915,25670,186441,4719910371,5347.09
2026-01-06,26263.3,25585,26200,25315,26175,112818,2918608871,5483.1
2026-01-07,25954.61,26175,26440,25535,25865,152640,3976312592,5418.72
2026-01-08,26933.11,26130,27120,26095,26900,280722,7524192953,5623.38
2026-01-09,29319.54,27175,29270,27040,29220,876689,24898330522,6123.51
2026-01-12,30352.45,29665,30585,29240,30310,745757,22387516821,6339.6
2026-01-13,32032.59,30410,32155,30040,31925,844644,26471994029,6691.25
2026-01-14,32499.23,31695,32690,31135,32480,956556,30556885607,6789.17
2026-01-15,33893.8,33320,34010,33160,33905,924413,31035368833,7081.32
2026-01-16,32974.08,33895,33895,32565,32890,644511,21304987257,6888.66
2026-01-19,33254.76,33300,33490,33030,33290,412810,13737101408,6947.53
2026-01-20,32971.77,33290,33680,32685,32940,486689,16162999122,6888.49
2026-01-21,32271.23,32415,32600,31700,32310,395062,12667043197,6741.44
2026-01-22,31952.2,32355,32395,31770,31940,310269,9942113675,6674.97
2026-01-23,32541.22,32240,33245,32150,32530,414198,13539611245,6798.2
2026-01-26,32200.03,32740,32890,31940,32160,298121,9637837713,6727.04
2026-01-27,32081.07,32835,32835,31760,32060,241174,7737674434,6701.95
2026-01-28,32770.44,32475,32865,32105,32745,288331,9367662385,6846.35
2026-01-29,33316.63,32745,33545,31850,33265,420856,13691854534,6960.57
2026-01-30,33054.27,34030,34050,32740,33045,370219,12343424700,6906.19
2026-02-02,31816.22,33045,33955,31495,31770,401928,13204085361,6646.8
2026-02-03,35449.0,32760,35490,32655,35490,738093,25593603100,7407.39
2026-02-04,37205.76,35920,37290,35395,37290,698690,25390794756,7775.37
2026-02-05,35051.13,36655,36920,34605,35100,806083,28610529676,7324.35
2026-02-06,34338.29,33370,34610,32420,34310,589266,19835795637,7175.17
2026-02-09,35537.29,35385,36240,35105,35470,462250,16524870386,7425.85
2026-02-10,34667.43,35775,36040,34035,34625,472845,16393441563,7244.23
2026-02-11,34703.62,34625,34950,34355,34665,184246,6389449763,7251.77
2026-02-12,35479.27,35100,35315,34665,35315,286360,10055026652,7414.16
2026-02-13,35005.35,35015,35400,34605,35030,212435,7437424399,7314.9
2026-02-19,37710.26,36000,37700,35850,37700,460452,17016983159,7881.79
2026-02-20,39646.04,38850,39785,38620,39655,827175,32424115795,8287.02
2026-02-23,38524.02,39975,40000,38275,38500,580107,22566909368,8052.22
2026-02-24,38792.92,38495,39060,37375,38900,502646,19313146484,8105.19
2026-02-25,38665.08,39045,39200,38000,38685,543458,20996613655,8078.48
2026-02-26,38661.89,38600,38825,37780,38540,349565,13387536656,8077.88
2026-02-27,38953.7,39900,40180,38790,38810,638063,25027843718,8139.58
2026-03-03,41256.6,40350,43450,40155,41300,1888487,78692702686,8621.18
2026-03-04,34575.7,43020,43997,34150,34345,1968062,76028804467,7222.9
2026-03-05,39818.61,37255,40910,37065,39850,1107796,42952074688,8320.65
2026-03-06,42473.16,40915,42930,40225,42570,1431737,59585926786,8876.22
2026-03-09,41541.41,42700,43645,40275,41380,1155349,48255184949,8681.35
2026-03-10,41357.36,41150,42150,40280,41385,634766,26203901840,8642.8
2026-03-11,41272.5,41475,42795,40625,41380,392991,16580315982,8624.9
2026-03-12,42192.84,41380,41910,41130,41890,243629,10130461664,8817.98
2026-03-13,40903.49,41290,41330,40320,40735,277083,11273650827,8548.22
2026-03-16,40077.05,40490,41165,39860,40070,298379,12091477669,8375.29
2026-03-17,39954.85,40335,40680,39865,40005,279269,11236538755,8349.57
2026-03-18,40665.88,40265,40630,40000,40625,216098,8717405752,8498.42
2026-03-19,40235.99,40795,41090,40080,40185,158227,6370689246,8408.68
2026-03-20,39950.54,40340,40695,39875,39900,202272,8140290521,8348.87
2026-03-23,36812.61,39245,39275,36800,36805,228700,8563922909,7692.28
2026-03-24,37724.78,37930,38350,36410,37685,225114,8423174951,7883.02
2026-03-25,39414.11,38175,39265,37925,39265,335360,12969903705,8236.76
2026-03-26,37353.42,39635,39855,37020,37220,281959,10813185481,7797.84
2026-03-27,36319.36,35995,36410,34750,36250,299158,10622710276,7581.77
2026-03-30,35424.96,34420,35580,33985,35300,203721,7066964310,7388.05
2026-03-31,34398.74,34990,35505,34105,34285,231271,8030089747,7173.19
2026-04-01,36830.16,35595,37365,35310,36700,289619,10480768915,7682.32
2026-04-02,36285.69,37805,38580,35800,36195,487163,18416499157,7568.41
2026-04-03,37921.06,37020,38445,36775,37930,294304,11132720570,7910.99
2026-04-06,36920.65,37930,37935,36690,36910,149855,5578856200,7701.13
2026-04-07,37490.66,37005,37895,36790,37465,383709,14381108049,7820.99
2026-04-08,38512.56,38000,38475,37500,38380,248308,9456995431,8034.83
2026-04-09,38356.63,38505,38565,37600,38100,120138,4564103682,8002.22
2026-04-10,38585.3,38630,38950,38305,38545,163787,6338134695,8050.47
2026-04-13,38250.5,38540,38580,37925,38190,92390,3529993738,7980.33
2026-04-14,39107.75,38560,39230,38270,39040,164315,6381793212,8159.77
2026-04-15,39237.78,39370,39720,39020,39185,240662,9474533721,8187.05
2026-04-16,39990.94,39755,40035,39580,39830,178522,7108348981,8344.69
2026-04-17,39537.85,39765,39875,39000,39475,159830,6286322712,8249.93
2026-04-20,39465.22,39635,39800,39070,39455,136716,5398676149,8234.91
2026-04-21,40143.1,39575,40035,39530,40035,170838,6786968132,8376.79
2026-04-22,41042.75,40035,41050,39950,41000,328554,13332995824,8565.09
2026-04-23,40759.66,41105,41170,39750,40645,191866,7773797699,8505.99
2026-04-24,41801.7,40900,41895,40900,41820,267279,11133410924,8726.08
